"firstname";"sex";"spread";"med";"count";"position";"year"
"Abdoullah";"m";0;1;1;1;2014
"Abdoullah-Daouda";"m";0;1;1;1;2018
"Abdoulrahim";"m";0;1;1;1;2010
"Abdourahman";"m";0;1;1;1;2013
"Abdu";"m";0;1;1;1;2011
"Abdu";"m";0;1;1;1;2012
"Abdu";"m";0;1;1;1;2014
"Abdu-Rahman";"m";0;1;1;1;2011
"Abdul";"m";1;1;4;1;2010
"Abdul";"m";1;1;2;1;2011
"Abdul";"m";1;1;1;1;2012
"Abdul";"m";1;1;2;1;2013
"Abdul";"m";1;1;1;1;2014
"Abdul";"m";1;1;2;1;2015
"Abdul";"m";1;1;1;1;2016
"Abdul";"m";1;1;1;1;2017
"Abdul";"m";1;1;1;1;2018
"Abdul-Lah";"m";0;1;1;1;2010
"Abdul-Rehman";"m";0;1;1;1;2017
"Abdulah";"m";0;1;1;1;2016
"Abdulaziz";"m";1;2;3;1;2012
"Abdulaziz";"m";1;2;1;1;2017
"Abdulhadi";"m";0;1;1;1;2013
"Abdulhamid";"m";0.25;2;1;1;2010
"Abdulhamid";"m";0.25;2;2;1;2015
"Abdulhamid";"m";0.25;2;2;1;2016
"Abdulhamid";"m";0.25;2;2;1;2018
"Abdulkader";"m";0;1;1;1;2017
"Abdulkadir";"m";0;1;1;1;2013
"Abdulkadir";"m";0;1;1;1;2014
"Abdulkadir";"m";0;1;1;1;2016
"Abdulkerim";"m";0;1;1;1;2010
"Abdulkerim";"m";0;1;1;1;2011
"Abdulkerim";"m";0;1;1;1;2014
"Abdulkerim";"m";0;1;1;1;2015
"Abdulkerim";"m";0;1;1;1;2017
"Abdulkerim";"m";0;1;1;1;2018
"Abdulkhalq";"w";0;1;1;1;2015
"Abdulla";"m";0.5;1.5;2;1;2011
"Abdulla";"m";0.5;1.5;1;1;2015
"Abdullah";"m";4;8;8;1;2010
"Abdullah";"m";4;8;11;1;2011
"Abdullah";"m";4;8;5;1;2012
"Abdullah";"m";4;8;11;1;2013
"Abdullah";"m";4;8;6;1;2014
"Abdullah";"m";4;8;10;1;2015
"Abdullah";"m";4;8;5;1;2016
"Abdullah";"m";4;8;8;1;2017
"Abdullah";"m";4;8;7;1;2018
"Abdulmalik";"m";0;1;1;1;2015
"Abdulmalik";"m";0;1;1;1;2018
"Abdulmuntakim";"m";0;1;1;1;2016
"Abdulnaser";"w";0;1;1;1;2016
"Abdulrahman";"m";0.75;1;2;1;2010
"Abdulrahman";"m";0.75;1;1;1;2013
"Abdulrahman";"m";0.75;1;1;1;2015
"Abdulrahman";"m";0.75;1;1;1;2016
"Abdulrahman";"m";0.75;1;2;1;2017
"Abdulrahman";"m";0.75;1;1;1;2018
"Abdulrahman";"w";0;1;1;1;2015
"Abdulwahab";"m";0;1;1;1;2017
"Abdurahman";"m";0.5;1.5;1;1;2015
"Abdurahman";"m";0.5;1.5;2;1;2017
"Abdurrahman";"m";1.5;2;2;1;2011
"Abdurrahman";"m";1.5;2;1;1;2012
"Abdurrahman";"m";1.5;2;1;1;2013
"Abdurrahman";"m";1.5;2;2;1;2014
"Abdurrahman";"m";1.5;2;4;1;2015
"Abdurrahman";"m";1.5;2;4;1;2016
"Abdurrahman";"m";1.5;2;2;1;2017
"Abdurrahman";"m";1.5;2;1;1;2018
"Abdussamed";"m";0;3;3;1;2010
"Abdussettar";"m";0;1;1;1;2011
"Abeba";"w";0;1;1;1;2012
"Abeba";"w";0;1;1;1;2015
"Abed";"m";0;1;1;1;2014
"Abedah";"w";0;1;1;1;2017
"Abedkhan";"m";0;1;1;1;2011
"Abeeha";"w";0;1;1;1;2011
"Abeera";"w";0;1;1;1;2017
"Abekan";"m";0;1;1;1;2012
"Abel";"m";1;1.5;1;1;2010
"Abel";"m";1;1.5;1;1;2011
"Abel";"m";1;1.5;2;1;2013
"Abel";"m";1;1.5;2;1;2015
"Abel";"m";1;1.5;2;1;2016
"Abel";"m";1;1.5;1;1;2018
"Abella";"w";0;1;1;1;2016
"Abena";"w";0;1;1;1;2011
"Abena";"w";0;1;1;1;2013
"Abenezer";"m";0;1;1;1;2015
"Abenezer";"m";0;1;1;1;2016
"Abhay";"m";0;1;1;1;2018
"Abhijot";"m";0;1;1;1;2010
"Abhijot";"m";0;1;1;1;2014
"Abhinay";"m";0;1;1;1;2016
"Abiba";"w";0;1;1;1;2012
"Abibata";"w";0;1;1;1;2011
"Abibata";"w";0;1;1;1;2016
"Abid";"m";0;1;1;1;2013
"Abid";"m";0;1;1;1;2018
"Abida";"w";0;1;1;1;2010
"Abida";"w";0;1;1;1;2014
"Abida";"w";0;1;1;1;2018
"Abidin";"m";0;1;1;1;2011
"Abidin";"m";0;1;1;1;2013
"Abidin";"m";0;1;1;1;2014
"Abidin";"m";0;1;1;1;2015
"Abieyuwa";"w";0;1;1;1;2013
"Abieyuwa";"w";0;1;1;1;2018
"Abigael";"w";0;1;1;1;2013
"Abigael";"w";0;1;1;1;2015
"Abigail";"w";1.25;1.5;2;1;2011
"Abigail";"w";1.25;1.5;3;1;2012
"Abigail";"w";1.25;1.5;3;1;2013
"Abigail";"w";1.25;1.5;1;1;2014
"Abigail";"w";1.25;1.5;1;1;2015
"Abigail";"w";1.25;1.5;2;1;2016
"Abigail";"w";1.25;1.5;1;1;2017
"Abigail";"w";1.25;1.5;1;1;2018
"Abigale";"w";0;1;1;1;2010
"Abigayl";"w";0;1;1;1;2010
"Abigel";"w";0;1;1;1;2010
"Abigel";"w";0;1;1;1;2014
"Abigia";"w";0;1;1;1;2015
"Abila";"w";0;1;1;1;2016
"Abimael";"m";0;1;1;1;2017
"Abiola";"m";0;1;1;1;2011
"Abir";"w";0;1;1;1;2015
"Abira";"w";0;1;1;1;2016
"Abishek";"m";0;1;1;1;2010
"Abjan";"m";0;1;1;1;2015
"Ablavi";"w";0;1;1;1;2014
"Abolfasel";"m";0;1;1;1;2018
"Abolfazl";"m";0;1;1;1;2016
"Abon";"m";0;1;1;1;2012
"Abou";"m";0;1;1;1;2010
"Aboubacar";"m";0;2;2;1;2018
"Aboubacar-Sidiki";"m";0;1;1;1;2011
"Aboubakar";"m";0;1;1;1;2012
"Aboubakar";"m";0;1;1;1;2013
"Abra";"w";0;1;1;1;2013
"Abraam";"m";0;1;1;1;2017
"Abraham";"m";0.25;2;1;1;2010
"Abraham";"m";0.25;2;2;1;2011
